uuid,lat,long,time
Machamp,661184.48,137599.8,276.816666667
Machamp,683958.8,148279.56,9.50416666667
Machamp,681245.6,143814.0,144.991666667
Machamp,522213.2,149274.6,31.6458333333
Machamp,584435.6,120203.68,226.8125
Machamp,647810.48,137015.48,341.683333333
Machamp,640580.8,145113.2,77.0291666667
Machamp,613096.08,129300.4,50.2708333333
Machamp,613096.08,129300.4,338.058333333
Kabutops,611456.32,131309.12,178.65
Kabutops,620865.6,134402.4,76.6708333333
Kabutops,577218.4,123760.8,77.6
Kabutops,649670.32,142894.48,48.8125
Kabutops,608058.72,127271.0,302.158333333
Kabutops,606729.6,134510.04,359.391666667
Kabutops,584524.0,127286.4,192.104166667
Kabutops,642233.52,137977.2,26.7583333333
Kabutops,604347.52,130473.2,173.8375
Kabutops,584647.84,127028.08,55.5708333333
Kabutops,607890.96,124530.56,60.4958333333
Kabutops,647387.44,141027.32,291.358333333
Kabutops,630154.16,143420.96,216.958333333
Kabutops,639276.8,143203.2,65.4291666667
Kabutops,606393.12,127850.52,90.2333333333
Kabutops,630740.0,143833.44,107.258333333
Kabutops,652020.8,145312.64,258.945833333
Kabutops,644602.8,141519.24,188.966666667
Kabutops,653644.8,143774.4,17.1125
Kabutops,626873.52,134359.84,286.5875
Kabutops,576490.96,122981.76,173.970833333
Kabutops,576490.96,122981.76,1.47083333333
Kabutops,626618.4,139149.2,5.9125
Lapras,613749.12,130787.92,321.466666667
Lapras,566411.84,120333.2,9.33333333333
Lapras,608058.72,127271.0,113.270833333
Lapras,650733.28,144265.08,130.204166667
Lapras,631233.12,145361.96,15.95
Lapras,567921.44,124207.48,68.4625
Lapras,609405.6,128639.6,122.529166667
Lapras,632927.76,148200.32,137.483333333
Lapras,602784.72,131182.16,359.2125
Lapras,641526.0,141606.0,282.0625
Lapras,642610.16,142143.4,58.2
Lapras,632914.24,144221.36,93.1708333333
Lapras,603832.08,128006.68,269.629166667
Lapras,632040.64,127545.64,206.65
Lapras,652956.64,144454.92,269.766666667
Lapras,591125.68,124564.88,312.55
Lapras,609501.52,130633.92,173.979166667
Lapras,608282.48,129074.28,357.725
Lapras,645474.4,139264.8,70.2166666667
Lapras,628863.2,125780.4,270.429166667
Lapras,636064.8,142510.0,144.016666667
Lapras,574018.96,122966.8,233.891666667
Lapras,574018.96,122966.8,128.8875
Lapras,626692.72,146406.52,337.629166667
Lapras,605697.6,125375.48,344.970833333
Lapras,610456.4,128256.92,323.75
Lapras,636068.32,144001.96,104.379166667
Lapras,607970.96,126997.8,145.683333333
Lapras,609006.16,128853.84,233.708333333
Lapras,592357.6,124624.4,165.9
Lapras,646267.2,140666.4,117.070833333
Lapras,640928.8,140773.76,255.675
Omastar,527583.2,148034.8,27.0083333333
Omastar,648836.32,138277.24,254.795833333
Omastar,609866.4,131313.4,185.529166667
Omastar,649079.28,138200.96,56.2375
Omastar,646822.4,144010.4,81.2875
Omastar,570438.32,120499.8,141.591666667
Omastar,611664.48,129951.88,226.5875
Omastar,644270.32,143442.32,45.2875
Omastar,608199.84,132713.6,237.754166667
Omastar,647491.52,144609.0,110.2375
Omastar,601608.56,127515.6,151.2125
Omastar,601608.56,127515.6,151.216666667
Omastar,661288.72,138259.28,358.620833333
Omastar,648074.64,141447.28,39.3625
Omastar,612989.12,131094.68,208.675
Omastar,612989.12,131094.68,270.4125
Omastar,599556.8,121566.04,141.2125
Omastar,621312.96,139141.28,354.683333333
Omastar,648159.12,146027.12,80.6
Omastar,646971.52,145050.64,336.0625
Omastar,591809.92,125547.84,191.120833333
Omastar,592990.4,125667.76,77.1791666667
Omastar,571516.32,120386.52,23.4875
Omastar,673715.6,141167.24,234.0
Omastar,613096.08,129300.4,204.866666667
Snorlax,628918.48,129234.52,156.795833333
Snorlax,582474.64,128550.92,237.408333333
Snorlax,636012.88,136911.36,157.879166667
Snorlax,578538.4,128078.32,1.13333333333
Snorlax,582514.0,127417.36,190.104166667
Snorlax,694478.0,153147.0,218.675
Snorlax,591864.4,128905.08,206.408333333
Snorlax,573139.04,126995.76,327.5
Snorlax,591015.04,124676.76,237.620833333
Snorlax,622237.04,128480.92,86.1416666667
Snorlax,614316.16,128009.12,63.2166666667
Snorlax,694996.0,150024.8,150.45
Snorlax,630093.76,138584.64,257.8875
Snorlax,619843.28,139529.32,303.345833333
Snorlax,576507.76,127470.52,11.8625
Snorlax,613732.8,127470.6,300.891666667
Snorlax,622369.6,142154.0,260.1875
Snorlax,621526.72,142649.12,358.295833333
Snorlax,630487.2,132526.04,4.4625
Snorlax,643105.6,139708.04,205.825
Snorlax,632645.84,133704.08,42.45
Snorlax,632645.84,133704.08,21.1041666667
Snorlax,645179.6,140432.52,211.125
Snorlax,621228.0,127446.84,54.75
Snorlax,686177.68,149207.44,265.966666667
Snorlax,592406.64,128648.88,352.725
Snorlax,592186.56,128171.24,97.75
Snorlax,573732.8,122896.8,298.929166667
Snorlax,641808.64,136602.8,258.179166667
Snorlax,637261.6,132028.12,31.3833333333
Snorlax,673715.6,141167.24,264.591666667
Snorlax,613096.08,129300.4,132.058333333
Snorlax,613096.08,129300.4,132.054166667
Snorlax,613096.08,129300.4,201.458333333
Snorlax,613096.08,129300.4,296.616666667
Snorlax,676906.88,145942.44,223.916666667
Snorlax,616835.76,131768.08,203.891666667
Snorlax,591404.64,129086.84,139.975
Snorlax,591404.64,129086.84,334.975
Snorlax,682548.32,147221.68,186.770833333
Snorlax,578167.52,127302.28,256.8125
Snorlax,643885.92,136694.0,259.066666667
Snorlax,640159.92,143161.6,118.645833333
Snorlax,567921.44,124207.48,58.0
Snorlax,593689.6,128477.6,27.6416666667
Snorlax,580695.2,128477.6,278.445833333
Snorlax,685137.84,149076.04,260.733333333
Snorlax,671486.0,148515.0,66.9083333333
Snorlax,620339.2,126418.4,139.7875
Snorlax,636678.88,134789.24,202.6875
Snorlax,690614.0,152430.68,221.679166667
Snorlax,618651.76,131206.96,77.8416666667
Snorlax,677874.24,143532.2,203.845833333
Snorlax,591963.12,129211.8,15.9916666667
Snorlax,580842.88,129233.08,332.241666667
Snorlax,663351.2,142300.4,218.770833333
Snorlax,605744.88,132336.68,128.370833333
Snorlax,591679.04,130096.84,327.0
Snorlax,621472.08,140097.76,349.958333333
Snorlax,698461.28,148754.56,58.6416666667
Snorlax,594774.4,131112.72,63.1291666667
Snorlax,630968.72,132829.84,115.395833333
Snorlax,609471.44,127919.12,26.25
Snorlax,652072.32,143007.36,292.870833333
Snorlax,626105.92,126544.6,112.5
Snorlax,578774.4,129232.2,357.570833333
Snorlax,633345.92,138949.76,325.854166667
Snorlax,665532.24,145832.12,186.904166667
Snorlax,636583.2,135161.2,180.666666667
Snorlax,619101.04,131253.64,41.4208333333
Snorlax,655795.76,145344.56,142.05
Snorlax,619791.68,130093.32,229.2125
Snorlax,574970.88,127253.68,37.8583333333
Snorlax,636873.52,133185.52,167.879166667
Snorlax,618550.16,142226.0,71.1958333333
Snorlax,624164.0,140502.4,22.9958333333
Snorlax,624164.0,140502.4,15.4958333333
Snorlax,593705.2,127350.04,197.6125
Snorlax,623238.32,127634.28,3.84166666667
Snorlax,632046.32,138456.32,53.275
Snorlax,631573.6,132633.2,107.066666667
Snorlax,631573.6,132633.2,293.9875
Snorlax,639313.76,135480.84,118.2875
Snorlax,617955.92,127342.96,194.0125
Snorlax,618577.04,132468.68,337.0875
Snorlax,622346.32,126566.0,227.775
Snorlax,634561.28,137988.64,11.8791666667
Snorlax,634561.28,137988.64,127.608333333
Snorlax,634561.28,137988.64,65.025
Snorlax,634561.28,137988.64,42.3666666667
Snorlax,656153.6,142217.28,85.275
Snorlax,577201.36,121733.0,242.029166667
Snorlax,617394.16,124971.32,134.966666667
Snorlax,633930.96,133049.6,221.870833333
Snorlax,665869.6,143450.28,69.3333333333
Snorlax,618761.6,141314.8,184.9375
Snorlax,579451.2,128006.92,57.6416666667
Snorlax,626061.12,131246.4,117.745833333
Snorlax,660149.92,144838.2,298.641666667
Snorlax,618880.08,129497.84,232.525
Snorlax,618880.08,129497.84,150.879166667
Snorlax,618880.08,129497.84,104.1125
Snorlax,618880.08,129497.84,150.8875
Snorlax,618880.08,129497.84,293.379166667
Snorlax,624900.4,126585.84,63.55
Snorlax,591454.32,128256.28,182.704166667
Snorlax,594061.6,127500.96,46.7958333333
Snorlax,578002.56,127118.56,264.354166667
Snorlax,629208.56,129262.52,179.0875
Snorlax,613559.92,125933.76,63.95
Snorlax,578389.44,128509.32,270.233333333
Snorlax,618860.48,141551.44,114.6625
Snorlax,589283.36,127434.64,123.695833333
Snorlax,597311.28,128317.44,216.6
Snorlax,626445.92,131356.08,99.3708333333
Snorlax,622016.56,129123.84,161.645833333
Snorlax,622016.56,129123.84,161.654166667
Snorlax,576349.36,129439.24,40.4291666667
Snorlax,635711.04,130723.36,30.9791666667
Snorlax,623397.68,138711.24,265.020833333
Snorlax,580551.76,128166.08,124.1625
Snorlax,650052.72,144458.8,330.354166667
Snorlax,644560.72,142926.6,288.75
Snorlax,683922.96,146044.24,20.2041666667
Snorlax,580309.44,129536.32,308.779166667
Snorlax,620765.52,129717.04,72.1125
Snorlax,620765.52,129717.04,102.116666667
Snorlax,625423.76,131987.04,296.258333333
Snorlax,625423.76,131987.04,188.116666667
Snorlax,572910.64,126829.48,171.645833333
Snorlax,627013.2,133953.0,310.391666667
Snorlax,627013.2,133953.0,59.7
Snorlax,627013.2,133953.0,250.395833333
Snorlax,591454.32,128256.28,272.816666667
Snorlax,603817.28,126412.4,242.279166667
Snorlax,622409.6,129939.44,282.041666667
Snorlax,627480.64,136480.08,140.929166667
Snorlax,627480.64,136480.08,50.8958333333
Snorlax,678352.4,144325.84,242.620833333
Snorlax,624206.88,132490.0,83.0583333333
Snorlax,688392.8,148281.2,184.958333333
Snorlax,622539.52,128038.24,186.454166667
Snorlax,614376.72,131838.32,241.8
Snorlax,624206.88,132490.0,104.658333333
Snorlax,624206.88,132490.0,338.529166667
Snorlax,572684.4,123509.76,255.654166667
Snorlax,616255.92,143013.08,205.733333333
Snorlax,653817.68,138149.92,47.8125
Snorlax,653817.68,138149.92,55.3125
Snorlax,691878.4,147276.8,358.808333333
Snorlax,592931.76,129401.44,236.658333333
Snorlax,580481.92,131109.24,106.066666667
Snorlax,575062.48,129167.08,347.758333333
Snorlax,612989.12,131094.68,344.308333333
Snorlax,612989.12,131094.68,344.308333333
Snorlax,637551.76,132164.28,345.3875
Snorlax,615138.24,128003.76,255.025
Snorlax,626984.0,149495.36,224.275
Snorlax,677108.32,143820.88,248.958333333
Snorlax,655075.84,138539.76,64.825
Snorlax,631078.08,138516.44,108.975
Snorlax,699098.64,150478.56,163.983333333
Snorlax,583788.32,127757.24,277.745833333
Snorlax,639995.44,138220.24,325.758333333
Snorlax,686177.68,149207.44,108.991666667
Snorlax,618214.24,128459.0,230.341666667
Snorlax,640446.4,141814.4,115.8
Snorlax,626002.24,129866.4,202.925
Snorlax,618706.16,126580.4,315.675
Snorlax,637241.6,135390.8,327.754166667
Snorlax,623794.56,131465.0,195.2125
Snorlax,623794.56,131465.0,11.2291666667
Snorlax,623794.56,131465.0,347.229166667
Snorlax,623794.56,131465.0,139.554166667
Snorlax,634718.8,135404.6,56.0375
Snorlax,580457.6,127056.4,356.120833333
Snorlax,580457.6,127056.4,356.1125
Snorlax,580457.6,127056.4,356.125
Snorlax,683480.24,147820.88,315.791666667
Snorlax,576028.88,125887.56,135.125
Snorlax,620550.8,131309.16,143.075
Snorlax,634874.48,136171.68,50.8958333333
Snorlax,594616.4,127076.76,288.475
Snorlax,617736.08,128665.84,45.8666666667
Snorlax,617736.08,128665.84,162.9
Snorlax,620804.8,141695.6,183.5125
Snorlax,626873.52,134359.84,112.7125
Snorlax,626873.52,134359.84,211.591666667
Snorlax,626873.52,134359.84,71.6
Snorlax,626873.52,134359.84,128.970833333
Snorlax,584359.68,122587.4,59.4458333333
Snorlax,642834.4,135116.2,58.0083333333
Snorlax,632901.6,133264.44,18.0291666667
Snorlax,590544.08,128190.4,253.529166667
Snorlax,577408.0,125584.0,269.7625
Snorlax,591309.2,128759.72,48.0125
